Symbol: 10000000AIDOGEUSDT, Bid 1 Price: 0.003487, Bid 1 Size: 90800, Ask 1 Price: 0.003488, Ask 1 Size: 148200, Last Price: 0.003487, Previous Price 24h: 0.003656, Price Change % 24h: -0.046225, High Price 24h: 0.004446, Low Price 24h: 0.002762, Turnover 24h: 95965750.1041, Volume 24h: 26875704600.0000, USD Index Price: 
Symbol: BELUSDT, Bid 1 Price: 0.5605, Bid 1 Size: 837, Ask 1 Price: 0.5607, Ask 1 Size: 2472, Last Price: 0.5825, Previous Price 24h: 0.6374, Price Change % 24h: -0.086131, High Price 24h: 0.7728, Low Price 24h: 0.4961, Turnover 24h: 96490148.4966, Volume 24h: 149243589.0000, USD Index Price: 
Symbol: BENDOGUSDT, Bid 1 Price: 0.011256, Bid 1 Size: 97850, Ask 1 Price: 0.011262, Ask 1 Size: 45150, Last Price: 0.010843, Previous Price 24h: 0.012129, Price Change % 24h: -0.106026, High Price 24h: 0.013377, Low Price 24h: 0.008445, Turnover 24h: 94261165.7009, Volume 24h: 8561592440.0000, USD Index Price: 
Symbol: BIGTIMEUSDT, Bid 1 Price: 0.14160, Bid 1 Size: 4934, Ask 1 Price: 0.14162, Ask 1 Size: 3092, Last Price: 0.13093, Previous Price 24h: 0.14841, Price Change % 24h: -0.117781, High Price 24h: 0.17919, Low Price 24h: 0.11653, Turnover 24h: 95211240.5282, Volume 24h: 633432271.0000, USD Index Price: 
Symbol: BLASTUSDT, Bid 1 Price: 0.011052, Bid 1 Size: 294150, Ask 1 Price: 0.011053, Ask 1 Size: 44130, Last Price: 0.011052, Previous Price 24h: 0.010872, Price Change % 24h: 0.016556, High Price 24h: 0.013068, Low Price 24h: 0.009204, Turnover 24h: 434188.2907, Volume 24h: 39823910.0000, USD Index Price: 
Symbol: BLURUSDT, Bid 1 Price: 0.3079, Bid 1 Size: 3224, Ask 1 Price: 0.3081, Ask 1 Size: 115784, Last Price: 0.3143, Previous Price 24h: 0.3248, Price Change % 24h: -0.032327, High Price 24h: 0.3677, Low Price 24h: 0.2548, Turnover 24h: 71742092.4460, Volume 24h: 224664821.0000, USD Index Price: 
Symbol: BLZUSDT, Bid 1 Price: 0.12880, Bid 1 Size: 202, Ask 1 Price: 0.12890, Ask 1 Size: 2884, Last Price: 0.12880, Previous Price 24h: 0.13140, Price Change % 24h: -0.019786, High Price 24h: 0.16370, Low Price 24h: 0.10600, Turnover 24h: 95621512.4199, Volume 24h: 717360986.0000, USD Index Price: 
Symbol: BNBUSDT, Bid 1 Price: 645.50, Bid 1 Size: 48.70, Ask 1 Price: 646.00, Ask 1 Size: 1.20, Last Price: 643.00, Previous Price 24h: 650.50, Price Change % 24h: -0.011529, High Price 24h: 716.50, Low Price 24h: 551.00, Turnover 24h: 92846090.4800, Volume 24h: 147527.7100, USD Index Price: 
Symbol: BNTUSDT, Bid 1 Price: 0.66120, Bid 1 Size: 841, Ask 1 Price: 0.68820, Ask 1 Size: 679, Last Price: 0.66120, Previous Price 24h: 0.67005, Price Change % 24h: -0.013207, High Price 24h: 0.83000, Low Price 24h: 0.52905, Turnover 24h: 96538052.9410, Volume 24h: 141946289.0000, USD Index Price: 
Symbol: BOBAUSDT, Bid 1 Price: 0.29337, Bid 1 Size: 7963.5, Ask 1 Price: 0.29343, Ask 1 Size: 1159.0, Last Price: 0.28228, Previous Price 24h: 0.21782, Price Change % 24h: 0.295932, High Price 24h: 0.37513, Low Price 24h: 0.20429, Turnover 24h: 92119800.5622, Volume 24h: 331620877.8000, USD Index Price: 
Symbol: BOMEUSDT, Bid 1 Price: 0.009107, Bid 1 Size: 3106300, Ask 1 Price: 0.009108, Ask 1 Size: 49500, Last Price: 0.009107, Previous Price 24h: 0.008537, Price Change % 24h: 0.066768, High Price 24h: 0.010192, Low Price 24h: 0.007528, Turnover 24h: 77075470.2570, Volume 24h: 8717436400.0000, USD Index Price: 
Symbol: BONDUSDT, Bid 1 Price: 1.614, Bid 1 Size: 2731.3, Ask 1 Price: 1.615, Ask 1 Size: 318.9, Last Price: 1.614, Previous Price 24h: 1.657, Price Change % 24h: -0.02595, High Price 24h: 1.942, Low Price 24h: 1.239, Turnover 24h: 95056592.5530, Volume 24h: 60391162.6000, USD Index Price: 
Symbol: BRETTUSDT, Bid 1 Price: 0.15582, Bid 1 Size: 17910, Ask 1 Price: 0.15583, Ask 1 Size: 3170, Last Price: 0.15006, Previous Price 24h: 0.16473, Price Change % 24h: -0.089054, High Price 24h: 0.19389, Low Price 24h: 0.12429, Turnover 24h: 96344328.8059, Volume 24h: 593565800.0000, USD Index Price: 
Symbol: BSVUSDT, Bid 1 Price: 65.90, Bid 1 Size: 4.75, Ask 1 Price: 65.95, Ask 1 Size: 60.95, Last Price: 68.48, Previous Price 24h: 64.14, Price Change % 24h: 0.067664, High Price 24h: 80.49, Low Price 24h: 53.09, Turnover 24h: 96561438.3031, Volume 24h: 1457894.2500, USD Index Price: 
Symbol: BTC-06DEC24, Bid 1 Price: 94060.50, Bid 1 Size: 0.066, Ask 1 Price: 94676.50, Ask 1 Size: 0.073, Last Price: 94146.00, Previous Price 24h: 96221.50, Price Change % 24h: -0.02157, High Price 24h: 96510.00, Low Price 24h: 91347.50, Turnover 24h: 701668.0050, Volume 24h: 7.4600, USD Index Price: 
Symbol: BTC-13DEC24, Bid 1 Price: 94329.50, Bid 1 Size: 0.041, Ask 1 Price: 94952.50, Ask 1 Size: 0.040, Last Price: 94385.00, Previous Price 24h: 96472.00, Price Change % 24h: -0.021633, High Price 24h: 96842.00, Low Price 24h: 91580.50, Turnover 24h: 646761.4380, Volume 24h: 6.8620, USD Index Price: 
Symbol: BTC-26SEP25, Bid 1 Price: 102738.50, Bid 1 Size: 0.060, Ask 1 Price: 103309.00, Ask 1 Size: 0.071, Last Price: 100887.50, Previous Price 24h: 105042.00, Price Change % 24h: -0.03955, High Price 24h: 105042.00, Low Price 24h: 100336.00, Turnover 24h: 130845.2655, Volume 24h: 1.2500, USD Index Price: 
Symbol: BTC-27DEC24, Bid 1 Price: 75753.00, Bid 1 Size: 0.005, Ask 1 Price: 200000.00, Ask 1 Size: 0.100, Last Price: 75753.00, Previous Price 24h: 75753.00, Price Change % 24h: 0, High Price 24h: 75753.00, Low Price 24h: 75753.00, Turnover 24h: 303.0120, Volume 24h: 0.0040, USD Index Price: 
Symbol: BTC-27JUN25, Bid 1 Price: 81821.00, Bid 1 Size: 2.033, Ask 1 Price: 101243.50, Ask 1 Size: 2.900, Last Price: 81821.00, Previous Price 24h: 81821.00, Price Change % 24h: 0, High Price 24h: 81821.00, Low Price 24h: 81821.00, Turnover 24h: 0.0000, Volume 24h: 0.0000, USD Index Price: 
Symbol: BTC-28MAR25, Bid 1 Price: 97488.00, Bid 1 Size: 0.082, Ask 1 Price: 98035.50, Ask 1 Size: 0.089, Last Price: 97171.00, Previous Price 24h: 99349.50, Price Change % 24h: -0.021927, High Price 24h: 99871.00, Low Price 24h: 95842.50, Turnover 24h: 100428.9390, Volume 24h: 1.0100, USD Index Price: 
Symbol: BTC-29NOV24, Bid 1 Price: 92665.00, Bid 1 Size: 0.873, Ask 1 Price: 93216.00, Ask 1 Size: 0.103, Last Price: 93269.00, Previous Price 24h: 94702.50, Price Change % 24h: -0.015136, High Price 24h: 95030.00, Low Price 24h: 89990.50, Turnover 24h: 607048.7810, Volume 24h: 6.5520, USD Index Price: 
Symbol: BTC-31JAN25, Bid 1 Price: 95861.50, Bid 1 Size: 0.869, Ask 1 Price: 96471.50, Ask 1 Size: 0.021, Last Price: 95843.50, Previous Price 24h: 98038.50, Price Change % 24h: -0.022389, High Price 24h: 98368.50, Low Price 24h: 92966.00, Turnover 24h: 682315.1210, Volume 24h: 7.1270, USD Index Price: 
Symbol: BTCPERP, Bid 1 Price: 122567.80, Bid 1 Size: 93.369, Ask 1 Price: 124567.80, Ask 1 Size: 0.001, Last Price: 122567.80, Previous Price 24h: 96035.30, Price Change % 24h: 0.276278, High Price 24h: 124567.80, Low Price 24h: 96035.30, Turnover 24h: 19370951.2690, Volume 24h: 182.3090, USD Index Price: 
Symbol: BTCUSDT, Bid 1 Price: 86285.80, Bid 1 Size: 0.001, Ask 1 Price: 86500.00, Ask 1 Size: 0.001, Last Price: 86152.30, Previous Price 24h: 95500.00, Price Change % 24h: -0.097881, High Price 24h: 114980.00, Low Price 24h: 82950.60, Turnover 24h: 3125621508.1571, Volume 24h: 32952.5110, USD Index Price: 
Symbol: C98USDT, Bid 1 Price: 0.1679, Bid 1 Size: 21349.8, Ask 1 Price: 0.1680, Ask 1 Size: 6.6, Last Price: 0.1680, Previous Price 24h: 0.1659, Price Change % 24h: 0.012658, High Price 24h: 0.2114, Low Price 24h: 0.1334, Turnover 24h: 96022050.8806, Volume 24h: 571384892.0000, USD Index Price: 
Symbol: CAKEUSDT, Bid 1 Price: 2.813, Bid 1 Size: 1277.1, Ask 1 Price: 2.814, Ask 1 Size: 171.8, Last Price: 2.707, Previous Price 24h: 2.570, Price Change % 24h: 0.053307, High Price 24h: 3.326, Low Price 24h: 2.153, Turnover 24h: 95390759.0180, Volume 24h: 35601267.6000, USD Index Price: 
Symbol: CARVUSDT, Bid 1 Price: 0.9338, Bid 1 Size: 26151, Ask 1 Price: 1.0100, Ask 1 Size: 10, Last Price: 0.9525, Previous Price 24h: 0.9525, Price Change % 24h: 0, High Price 24h: 0.9525, Low Price 24h: 0.9525, Turnover 24h: 0.0000, Volume 24h: 0.0000, USD Index Price: 
Symbol: CATIUSDT, Bid 1 Price: 0.5344, Bid 1 Size: 3331, Ask 1 Price: 0.5456, Ask 1 Size: 216199, Last Price: 0.5567, Previous Price 24h: 0.5272, Price Change % 24h: 0.055955, High Price 24h: 0.6027, Low Price 24h: 0.4618, Turnover 24h: 77233378.7226, Volume 24h: 144972410.0000, USD Index Price: 
Symbol: CELOUSDT, Bid 1 Price: 0.8520, Bid 1 Size: 496.9, Ask 1 Price: 0.8527, Ask 1 Size: 453.5, Last Price: 0.8535, Previous Price 24h: 0.8152, Price Change % 24h: 0.046982, High Price 24h: 1.0484, Low Price 24h: 0.6562, Turnover 24h: 96669213.1058, Volume 24h: 118465110.2000, USD Index Price: 
Symbol: CELRUSDT, Bid 1 Price: 0.01749, Bid 1 Size: 138870, Ask 1 Price: 0.01819, Ask 1 Size: 22413, Last Price: 0.01749, Previous Price 24h: 0.01676, Price Change % 24h: 0.043556, High Price 24h: 0.02202, Low Price 24h: 0.01433, Turnover 24h: 95405009.2090, Volume 24h: 5335245350.0000, USD Index Price: 
Symbol: CETUSUSDT, Bid 1 Price: 0.39244, Bid 1 Size: 9628, Ask 1 Price: 0.39245, Ask 1 Size: 869, Last Price: 0.39244, Previous Price 24h: 0.30833, Price Change % 24h: 0.272792, High Price 24h: 0.41159, Low Price 24h: 0.26101, Turnover 24h: 96437924.2079, Volume 24h: 298647961.0000, USD Index Price: 
Symbol: CFXUSDT, Bid 1 Price: 0.18032, Bid 1 Size: 146131, Ask 1 Price: 0.18033, Ask 1 Size: 1754, Last Price: 0.18032, Previous Price 24h: 0.18229, Price Change % 24h: -0.010806, High Price 24h: 0.20650, Low Price 24h: 0.15529, Turnover 24h: 75724806.0087, Volume 24h: 426143591.0000, USD Index Price: 
Symbol: CHESSUSDT, Bid 1 Price: 0.1646, Bid 1 Size: 1913, Ask 1 Price: 0.1652, Ask 1 Size: 15379, Last Price: 0.1703, Previous Price 24h: 0.1876, Price Change % 24h: -0.092217, High Price 24h: 0.2347, Low Price 24h: 0.1460, Turnover 24h: 93989646.8839, Volume 24h: 496564080.0000, USD Index Price: 
Symbol: CHILLGUYUSDT, Bid 1 Price: 0.5128, Bid 1 Size: 195, Ask 1 Price: 0.5145, Ask 1 Size: 195, Last Price: 0.4903, Previous Price 24h: 0.3059, Price Change % 24h: 0.602811, High Price 24h: 0.4909, Low Price 24h: 0.3059, Turnover 24h: 193.2189, Volume 24h: 394.0000, USD Index Price: 
Symbol: CHZUSDT, Bid 1 Price: 0.08404, Bid 1 Size: 33806, Ask 1 Price: 0.08410, Ask 1 Size: 5416, Last Price: 0.07784, Previous Price 24h: 0.08696, Price Change % 24h: -0.104875, High Price 24h: 0.10996, Low Price 24h: 0.07027, Turnover 24h: 94756745.9404, Volume 24h: 1055395603.0000, USD Index Price: 
Symbol: CLOUDUSDT, Bid 1 Price: 0.4955, Bid 1 Size: 3838, Ask 1 Price: 0.5359, Ask 1 Size: 931, Last Price: 0.4955, Previous Price 24h: 0.4448, Price Change % 24h: 0.113983, High Price 24h: 0.5616, Low Price 24h: 0.3778, Turnover 24h: 96784180.0085, Volume 24h: 207263455.0000, USD Index Price: 
Symbol: COMBOUSDT, Bid 1 Price: 0.4952, Bid 1 Size: 1548.0, Ask 1 Price: 0.4953, Ask 1 Size: 2018.2, Last Price: 0.4953, Previous Price 24h: 0.4386, Price Change % 24h: 0.129274, High Price 24h: 0.6065, Low Price 24h: 0.3852, Turnover 24h: 94948489.7371, Volume 24h: 193418507.3000, USD Index Price: 
Symbol: COMPUSDT, Bid 1 Price: 57.72, Bid 1 Size: 7.47, Ask 1 Price: 57.73, Ask 1 Size: 4.31, Last Price: 57.73, Previous Price 24h: 66.68, Price Change % 24h: -0.134223, High Price 24h: 81.75, Low Price 24h: 51.83, Turnover 24h: 97086263.9320, Volume 24h: 1483532.5600, USD Index Price: 
Symbol: COREUSDT, Bid 1 Price: 1.0393, Bid 1 Size: 43.0, Ask 1 Price: 1.0826, Ask 1 Size: 430.4, Last Price: 1.0393, Previous Price 24h: 1.1091, Price Change % 24h: -0.062933, High Price 24h: 1.2746, Low Price 24h: 0.8390, Turnover 24h: 95365844.8942, Volume 24h: 91749206.1000, USD Index Price: 
Symbol: COSUSDT, Bid 1 Price: 0.011058, Bid 1 Size: 207130, Ask 1 Price: 0.011062, Ask 1 Size: 32050, Last Price: 0.010232, Previous Price 24h: 0.012342, Price Change % 24h: -0.17096, High Price 24h: 0.014741, Low Price 24h: 0.009165, Turnover 24h: 96097853.5977, Volume 24h: 8189502460.0000, USD Index Price: 
Symbol: COTIUSDT, Bid 1 Price: 0.11982, Bid 1 Size: 5132, Ask 1 Price: 0.11983, Ask 1 Size: 3264, Last Price: 0.11982, Previous Price 24h: 0.13599, Price Change % 24h: -0.118905, High Price 24h: 0.16418, Low Price 24h: 0.10339, Turnover 24h: 42973334.4221, Volume 24h: 324200951.0000, USD Index Price: 
Symbol: COWUSDT, Bid 1 Price: 0.3096, Bid 1 Size: 103306, Ask 1 Price: 0.4656, Ask 1 Size: 103199, Last Price: 0.4226, Previous Price 24h: 0.4226, Price Change % 24h: 0, High Price 24h: 0.4226, Low Price 24h: 0.4226, Turnover 24h: 0.0000, Volume 24h: 0.0000, USD Index Price: 
Symbol: CROUSDT, Bid 1 Price: 0.15083, Bid 1 Size: 2272, Ask 1 Price: 0.15085, Ask 1 Size: 24172, Last Price: 0.15085, Previous Price 24h: 0.18325, Price Change % 24h: -0.176807, High Price 24h: 0.21254, Low Price 24h: 0.13306, Turnover 24h: 94364043.3303, Volume 24h: 543134144.0000, USD Index Price: 
Symbol: CRVUSDT, Bid 1 Price: 0.4738, Bid 1 Size: 7442.4, Ask 1 Price: 0.4920, Ask 1 Size: 731.3, Last Price: 0.4738, Previous Price 24h: 0.4944, Price Change % 24h: -0.041666, High Price 24h: 0.6232, Low Price 24h: 0.4032, Turnover 24h: 104811691.7923, Volume 24h: 208005401.3000, USD Index Price: 
Symbol: CTKUSDT, Bid 1 Price: 0.8252, Bid 1 Size: 4244.4, Ask 1 Price: 0.8577, Ask 1 Size: 366.2, Last Price: 0.8252, Previous Price 24h: 0.7719, Price Change % 24h: 0.06905, High Price 24h: 1.0264, Low Price 24h: 0.6683, Turnover 24h: 96656003.5302, Volume 24h: 115040782.3000, USD Index Price: 
Symbol: CTSIUSDT, Bid 1 Price: 0.17057, Bid 1 Size: 26834, Ask 1 Price: 0.17058, Ask 1 Size: 2427, Last Price: 0.17028, Previous Price 24h: 0.18878, Price Change % 24h: -0.097997, High Price 24h: 0.22270, Low Price 24h: 0.14454, Turnover 24h: 94946311.3172, Volume 24h: 519744923.0000, USD Index Price: 
Symbol: CVCUSDT, Bid 1 Price: 0.15195, Bid 1 Size: 2647, Ask 1 Price: 0.15201, Ask 1 Size: 26839, Last Price: 0.15814, Previous Price 24h: 0.14793, Price Change % 24h: 0.069019, High Price 24h: 0.19832, Low Price 24h: 0.12820, Turnover 24h: 97030496.6365, Volume 24h: 611220738.0000, USD Index Price: 
Symbol: CVXUSDT, Bid 1 Price: 3.073, Bid 1 Size: 145.53, Ask 1 Price: 3.074, Ask 1 Size: 902.25, Last Price: 3.074, Previous Price 24h: 3.290, Price Change % 24h: -0.065653, High Price 24h: 3.849, Low Price 24h: 2.548, Turnover 24h: 432790.1695, Volume 24h: 139285.5900, USD Index Price: 
Symbol: DARUSDT, Bid 1 Price: 0.1727, Bid 1 Size: 2365.8, Ask 1 Price: 0.1733, Ask 1 Size: 2274.9, Last Price: 0.1673, Previous Price 24h: 0.1688, Price Change % 24h: -0.008886, High Price 24h: 0.2184, Low Price 24h: 0.1360, Turnover 24h: 95614443.7346, Volume 24h: 549827002.4000, USD Index Price: 
Symbol: DASHUSDT, Bid 1 Price: 30.71, Bid 1 Size: 114.25, Ask 1 Price: 30.72, Ask 1 Size: 2.88, Last Price: 30.72, Previous Price 24h: 30.35, Price Change % 24h: 0.012191, High Price 24h: 41.90, Low Price 24h: 27.21, Turnover 24h: 99256900.9034, Volume 24h: 2999731.4600, USD Index Price: 
Symbol: DATAUSDT, Bid 1 Price: 0.04099, Bid 1 Size: 3380, Ask 1 Price: 0.04109, Ask 1 Size: 14080, Last Price: 0.04099, Previous Price 24h: 0.04494, Price Change % 24h: -0.087894, High Price 24h: 0.05589, Low Price 24h: 0.03499, Turnover 24h: 94184686.2134, Volume 24h: 2119252740.0000, USD Index Price: 
Symbol: DBRUSDT, Bid 1 Price: , Bid 1 Size: , Ask 1 Price: 0.03090, Ask 1 Size: 320, Last Price: 0.02777, Previous Price 24h: 0.02777, Price Change % 24h: 0, High Price 24h: 0.02777, Low Price 24h: 0.02777, Turnover 24h: 0.0000, Volume 24h: 0.0000, USD Index Price: 
Symbol: DEEPUSDT, Bid 1 Price: 0.05527, Bid 1 Size: 6060, Ask 1 Price: 0.05529, Ask 1 Size: 8450, Last Price: 0.05533, Previous Price 24h: 0.05434, Price Change % 24h: 0.018218, High Price 24h: 0.06534, Low Price 24h: 0.04087, Turnover 24h: 95772331.7039, Volume 24h: 1819992920.0000, USD Index Price: 
Symbol: DEGENUSDT, Bid 1 Price: 0.015509, Bid 1 Size: 25750, Ask 1 Price: 0.015512, Ask 1 Size: 158230, Last Price: 0.016141, Previous Price 24h: 0.018730, Price Change % 24h: -0.138227, High Price 24h: 0.022554, Low Price 24h: 0.013635, Turnover 24h: 95285401.8303, Volume 24h: 5435098080.0000, USD Index Price: 
Symbol: DENTUSDT, Bid 1 Price: 0.0012718, Bid 1 Size: 335100, Ask 1 Price: 0.0012720, Ask 1 Size: 642300, Last Price: 0.0012724, Previous Price 24h: 0.0014703, Price Change % 24h: -0.134598, High Price 24h: 0.0016293, Low Price 24h: 0.0010074, Turnover 24h: 95856679.7028, Volume 24h: 73431876800.0000, USD Index Price: 
Symbol: DEXEUSDT, Bid 1 Price: 8.268, Bid 1 Size: 75.5, Ask 1 Price: 8.269, Ask 1 Size: 39.2, Last Price: 8.268, Previous Price 24h: 8.207, Price Change % 24h: 0.007432, High Price 24h: 10.195, Low Price 24h: 6.616, Turnover 24h: 95695653.5495, Volume 24h: 11719890.2000, USD Index Price: 
Symbol: DGBUSDT, Bid 1 Price: 0.011338, Bid 1 Size: 198940, Ask 1 Price: 0.011339, Ask 1 Size: 42280, Last Price: 0.010910, Previous Price 24h: 0.011981, Price Change % 24h: -0.089391, High Price 24h: 0.013596, Low Price 24h: 0.008397, Turnover 24h: 60868306.7303, Volume 24h: 5690250830.0000, USD Index Price: 
Symbol: DODOUSDT, Bid 1 Price: 0.15124, Bid 1 Size: 15459, Ask 1 Price: 0.15128, Ask 1 Size: 2365, Last Price: 0.13985, Previous Price 24h: 0.13528, Price Change % 24h: 0.033781, High Price 24h: 0.17967, Low Price 24h: 0.11247, Turnover 24h: 61587028.3470, Volume 24h: 428638062.0000, USD Index Price: 
Symbol: DOGEPERP, Bid 1 Price: 0.44044, Bid 1 Size: 3858, Ask 1 Price: 0.44045, Ask 1 Size: 1112, Last Price: 0.44044, Previous Price 24h: 0.41412, Price Change % 24h: 0.063556, High Price 24h: 0.47459, Low Price 24h: 0.29948, Turnover 24h: 95814026.5822, Volume 24h: 245310549.0000, USD Index Price: 
Symbol: DOGEUSDT, Bid 1 Price: 0.40800, Bid 1 Size: 164872, Ask 1 Price: 0.41001, Ask 1 Size: 1154, Last Price: 0.40000, Previous Price 24h: 0.40723, Price Change % 24h: -0.017754, High Price 24h: 0.45219, Low Price 24h: 0.33277, Turnover 24h: 93058766.5502, Volume 24h: 237400773.0000, USD Index Price: 
Symbol: DOGSUSDT, Bid 1 Price: 0.0006660, Bid 1 Size: 36916100, Ask 1 Price: 0.0006794, Ask 1 Size: 537500, Last Price: 0.0006660, Previous Price 24h: 0.0007534, Price Change % 24h: -0.116007, High Price 24h: 0.0008172, Low Price 24h: 0.0005854, Turnover 24h: 77013734.8768, Volume 24h: 110947687700.0000, USD Index Price: 
Symbol: DOGUSDT, Bid 1 Price: 0.005666, Bid 1 Size: 69900, Ask 1 Price: 0.005667, Ask 1 Size: 398000, Last Price: 0.005667, Previous Price 24h: 0.006828, Price Change % 24h: -0.170035, High Price 24h: 0.008204, Low Price 24h: 0.005003, Turnover 24h: 95505133.2443, Volume 24h: 14670723500.0000, USD Index Price: 
Symbol: DOP1USDT, Bid 1 Price: 0.001527, Bid 1 Size: 231930, Ask 1 Price: 0.001605, Ask 1 Size: 442510, Last Price: 0.001605, Previous Price 24h: 0.001528, Price Change % 24h: 0.050392, High Price 24h: 0.002042, Low Price 24h: 0.001315, Turnover 24h: 90638878.1686, Volume 24h: 54820762510.0000, USD Index Price: 
Symbol: DOTUSDT, Bid 1 Price: 7.920, Bid 1 Size: 0.1, Ask 1 Price: 7.932, Ask 1 Size: 1090.7, Last Price: 7.949, Previous Price 24h: 8.518, Price Change % 24h: -0.066799, High Price 24h: 9.316, Low Price 24h: 6.911, Turnover 24h: 99351565.6382, Volume 24h: 12164083.1000, USD Index Price: 
Symbol: DRIFTUSDT, Bid 1 Price: 1.3404, Bid 1 Size: 1689, Ask 1 Price: 1.3405, Ask 1 Size: 383, Last Price: 1.2905, Previous Price 24h: 1.2923, Price Change % 24h: -0.001392, High Price 24h: 1.5879, Low Price 24h: 1.0146, Turnover 24h: 95890032.3991, Volume 24h: 75472784.0000, USD Index Price: 
Symbol: DUSKUSDT, Bid 1 Price: 0.21415, Bid 1 Size: 17954, Ask 1 Price: 0.21416, Ask 1 Size: 1845, Last Price: 0.20640, Previous Price 24h: 0.20998, Price Change % 24h: -0.017049, High Price 24h: 0.26342, Low Price 24h: 0.17382, Turnover 24h: 96225911.7677, Volume 24h: 440920216.0000, USD Index Price: 
Symbol: DYDXUSDT, Bid 1 Price: 1.420, Bid 1 Size: 2486.6, Ask 1 Price: 1.449, Ask 1 Size: 938.3, Last Price: 1.393, Previous Price 24h: 1.534, Price Change % 24h: -0.091916, High Price 24h: 1.755, Low Price 24h: 1.311, Turnover 24h: 75003110.1196, Volume 24h: 49812379.5000, USD Index Price: 
Symbol: DYMUSDT, Bid 1 Price: 2.021, Bid 1 Size: 1757.4, Ask 1 Price: 2.025, Ask 1 Size: 549.6, Last Price: 1.947, Previous Price 24h: 2.328, Price Change % 24h: -0.163659, High Price 24h: 2.860, Low Price 24h: 1.681, Turnover 24h: 79789824.6016, Volume 24h: 35722624.6000, USD Index Price: 
Symbol: EDUUSDT, Bid 1 Price: 0.5945, Bid 1 Size: 777.9, Ask 1 Price: 0.5951, Ask 1 Size: 796.9, Last Price: 0.5744, Previous Price 24h: 0.5644, Price Change % 24h: 0.017717, High Price 24h: 0.6974, Low Price 24h: 0.4549, Turnover 24h: 95430458.8425, Volume 24h: 165779125.9000, USD Index Price: 
Symbol: EGLDUSDT, Bid 1 Price: 40.16, Bid 1 Size: 17.05, Ask 1 Price: 40.17, Ask 1 Size: 9.58, Last Price: 40.16, Previous Price 24h: 37.92, Price Change % 24h: 0.059071, High Price 24h: 44.72, Low Price 24h: 29.41, Turnover 24h: 96437717.7018, Volume 24h: 2663713.4600, USD Index Price: 
Symbol: ENAUSDT, Bid 1 Price: 0.5916, Bid 1 Size: 701, Ask 1 Price: 0.5917, Ask 1 Size: 3817, Last Price: 0.5917, Previous Price 24h: 0.6420, Price Change % 24h: -0.078348, High Price 24h: 0.7090, Low Price 24h: 0.5155, Turnover 24h: 76122566.7958, Volume 24h: 123776256.0000, USD Index Price: 
Symbol: ENJUSDT, Bid 1 Price: 0.2815, Bid 1 Size: 10344.2, Ask 1 Price: 0.2830, Ask 1 Size: 1338.2, Last Price: 0.2815, Previous Price 24h: 0.2817, Price Change % 24h: -0.000709, High Price 24h: 0.3462, Low Price 24h: 0.2162, Turnover 24h: 95481644.9757, Volume 24h: 349769461.2000, USD Index Price: 
Symbol: ENSUSDT, Bid 1 Price: 21.861, Bid 1 Size: 31.9, Ask 1 Price: 21.862, Ask 1 Size: 23.1, Last Price: 21.861, Previous Price 24h: 25.822, Price Change % 24h: -0.153396, High Price 24h: 28.382, Low Price 24h: 17.650, Turnover 24h: 95289805.7850, Volume 24h: 4134553.2000, USD Index Price: 
Symbol: EOSUSDT, Bid 1 Price: 0.7915, Bid 1 Size: 801.7, Ask 1 Price: 0.8081, Ask 1 Size: 36743.3, Last Price: 0.8081, Previous Price 24h: 0.8378, Price Change % 24h: -0.035449, High Price 24h: 0.9286, Low Price 24h: 0.7175, Turnover 24h: 77267860.8651, Volume 24h: 95217268.1000, USD Index Price: 
Symbol: ETCUSDT, Bid 1 Price: 26.555, Bid 1 Size: 28.4, Ask 1 Price: 26.566, Ask 1 Size: 1138.5, Last Price: 27.108, Previous Price 24h: 31.817, Price Change % 24h: -0.148002, High Price 24h: 34.239, Low Price 24h: 24.630, Turnover 24h: 79198095.3228, Volume 24h: 2704009.6000, USD Index Price: 
Symbol: ETH-06DEC24, Bid 1 Price: 3342.35, Bid 1 Size: 0.58, Ask 1 Price: 3361.50, Ask 1 Size: 2.18, Last Price: 3361.70, Previous Price 24h: 3498.85, Price Change % 24h: -0.039198, High Price 24h: 3536.85, Low Price 24h: 3299.80, Turnover 24h: 98348.1225, Volume 24h: 28.7100, USD Index Price: 
Symbol: ETH-13DEC24, Bid 1 Price: 3349.30, Bid 1 Size: 17.73, Ask 1 Price: 3357.75, Ask 1 Size: 40.62, Last Price: 3351.90, Previous Price 24h: 3526.25, Price Change % 24h: -0.049443, High Price 24h: 3526.25, Low Price 24h: 3341.85, Turnover 24h: 1855.1525, Volume 24h: 0.5500, USD Index Price: 
Symbol: ETH-26SEP25, Bid 1 Price: 3591.15, Bid 1 Size: 0.93, Ask 1 Price: 3611.70, Ask 1 Size: 1.52, Last Price: 3591.85, Previous Price 24h: 3762.90, Price Change % 24h: -0.045456, High Price 24h: 3763.15, Low Price 24h: 3591.85, Turnover 24h: 27412.0280, Volume 24h: 7.3000, USD Index Price: 
Symbol: ETH-27DEC24, Bid 1 Price: 3338.75, Bid 1 Size: 246.80, Ask 1 Price: 3376.90, Ask 1 Size: 2.08, Last Price: 3338.75, Previous Price 24h: 3473.60, Price Change % 24h: -0.038821, High Price 24h: 3552.15, Low Price 24h: 3284.35, Turnover 24h: 355569.9140, Volume 24h: 103.9000, USD Index Price: 
